
Balance de criminalidad. 2024 - 1er Trimestre - Capitales de provincia, municipios mayores de 20.000 habitantes e islas
Indicadores de seguridad 2024 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-marzo 2023,enero-marzo 2024,Variación % 2024/2023,
46181 Oliva,
    I. CRIMINALIDAD CONVENCIONAL,223.0,268.0,20.2,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,5.0,6.0,20.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,1.0,1.0,0.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,1.0,0.0,
    6. Robos con violencia e intimidación,0.0,5.0,100.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,29.0,35.0,20.7,
    7.1.-Robos con fuerza en domicilios,24.0,32.0,33.3,
    8. Hurtos,38.0,70.0,84.2,
    9. Sustracciones de vehículos,4.0,3.0,-25.0,
    10. Tráfico de drogas,2.0,2.0,0.0,
    11. Resto de criminalidad convencional,144.0,146.0,1.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),52.0,65.0,25.0,
    12.-Estafas informáticas,45.0,58.0,28.9,
    13.-Otros ciberdelitos,7.0,7.0,0.0,
    III. TOTAL INFRACCIONES PENALES,275.0,333.0,21.1,
46184 Ontinyent,
    I. CRIMINALIDAD CONVENCIONAL,174.0,179.0,2.9,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,2.0,2.0,0.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,4.0,3.0,-25.0,
    5.1.-Agresión sexual con penetración,0.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,4.0,1.0,-75.0,
    6. Robos con violencia e intimidación,2.0,5.0,150.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,19.0,20.0,5.3,
    7.1.-Robos con fuerza en domicilios,18.0,19.0,5.6,
    8. Hurtos,43.0,39.0,-9.3,
    9. Sustracciones de vehículos,0.0,5.0,100.0,
    10. Tráfico de drogas,0.0,3.0,100.0,
    11. Resto de criminalidad convencional,104.0,102.0,-1.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),91.0,86.0,-5.5,
    12.-Estafas informáticas,83.0,84.0,1.2,
    13.-Otros ciberdelitos,8.0,2.0,-75.0,
    III. TOTAL INFRACCIONES PENALES,265.0,265.0,0.0,
46186 Paiporta,
    I. CRIMINALIDAD CONVENCIONAL,169.0,181.0,7.1,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,7.0,133.3,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,4.0,2.0,-50.0,
    5.1.-Agresión sexual con penetración,1.0,0.0,-100.0,
    5.2.-Resto de delitos contra la libertad sexual,3.0,2.0,-33.3,
    6. Robos con violencia e intimidación,0.0,1.0,100.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,14.0,14.0,0.0,
    7.1.-Robos con fuerza en domicilios,12.0,10.0,-16.7,
    8. Hurtos,42.0,43.0,2.4,
    9. Sustracciones de vehículos,8.0,2.0,-75.0,
    10. Tráfico de drogas,2.0,2.0,0.0,
    11. Resto de criminalidad convencional,96.0,110.0,14.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),70.0,47.0,-32.9,
    12.-Estafas informáticas,61.0,41.0,-32.8,
    13.-Otros ciberdelitos,9.0,6.0,-33.3,
    III. TOTAL INFRACCIONES PENALES,239.0,228.0,-4.6,
46190 Paterna,
    I. CRIMINALIDAD CONVENCIONAL,673.0,750.0,11.4,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,7.0,133.3,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,8.0,3.0,-62.5,
    5.1.-Agresión sexual con penetración,1.0,1.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,7.0,2.0,-71.4,
    6. Robos con violencia e intimidación,16.0,30.0,87.5,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,76.0,106.0,39.5,
    7.1.-Robos con fuerza en domicilios,62.0,73.0,17.7,
    8. Hurtos,161.0,167.0,3.7,
    9. Sustracciones de vehículos,13.0,16.0,23.1,
    10. Tráfico de drogas,4.0,2.0,-50.0,
    11. Resto de criminalidad convencional,391.0,419.0,7.2,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),157.0,195.0,24.2,
    12.-Estafas informáticas,140.0,179.0,27.9,
    13.-Otros ciberdelitos,17.0,16.0,-5.9,
    III. TOTAL INFRACCIONES PENALES,830.0,945.0,13.9,
46194 Picassent,
    I. CRIMINALIDAD CONVENCIONAL,261.0,252.0,-3.4,
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,4.0,6.0,50.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,8.0,0.0,-100.0,
    5.1.-Agresión sexual con penetración,1.0,0.0,-100.0,
    5.2.-Resto de delitos contra la libertad sexual,7.0,0.0,-100.0,
    6. Robos con violencia e intimidación,4.0,5.0,25.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,17.0,16.0,-5.9,
    7.1.-Robos con fuerza en domicilios,15.0,14.0,-6.7,
    8. Hurtos,60.0,61.0,1.7,
    9. Sustracciones de vehículos,3.0,3.0,0.0,
    10. Tráfico de drogas,23.0,10.0,-56.5,
    11. Resto de criminalidad convencional,141.0,151.0,7.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),27.0,23.0,-14.8,
    12.-Estafas informáticas,16.0,21.0,31.3,
    13.-Otros ciberdelitos,11.0,2.0,-81.8,
    III. TOTAL INFRACCIONES PENALES,288.0,275.0,-4.5,
46202 Pobla de Vallbona (la),
    I. CRIMINALIDAD CONVENCIONAL,235.0,210.0,-10.6,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,5.0,66.7,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,3.0,0.0,-100.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,3.0,0.0,-100.0,
    6. Robos con violencia e intimidación,3.0,1.0,-66.7,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,23.0,42.0,82.6,
    7.1.-Robos con fuerza en domicilios,20.0,41.0,105.0,
    8. Hurtos,46.0,34.0,-26.1,
    9. Sustracciones de vehículos,4.0,3.0,-25.0,
    10. Tráfico de drogas,3.0,1.0,-66.7,
    11. Resto de criminalidad convencional,150.0,124.0,-17.3,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),52.0,81.0,55.8,
    12.-Estafas informáticas,42.0,72.0,71.4,
    13.-Otros ciberdelitos,10.0,9.0,-10.0,
    III. TOTAL INFRACCIONES PENALES,287.0,291.0,1.4,
46205 Puçol,
    I. CRIMINALIDAD CONVENCIONAL,154.0,149.0,-3.2,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,2.0,-33.3,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,3.0,0.0,-100.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,3.0,0.0,-100.0,
    6. Robos con violencia e intimidación,2.0,3.0,50.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,6.0,11.0,83.3,
    7.1.-Robos con fuerza en domicilios,2.0,11.0,450.0,
    8. Hurtos,39.0,41.0,5.1,
    9. Sustracciones de vehículos,1.0,0.0,-100.0,
    10. Tráfico de drogas,0.0,1.0,100.0,
    11. Resto de criminalidad convencional,100.0,91.0,-9.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),19.0,14.0,-26.3,
    12.-Estafas informáticas,13.0,9.0,-30.8,
    13.-Otros ciberdelitos,6.0,5.0,-16.7,
    III. TOTAL INFRACCIONES PENALES,173.0,163.0,-5.8,
46102 Quart de Poblet,
    I. CRIMINALIDAD CONVENCIONAL,269.0,217.0,-19.3,
    1. Homicidios dolosos y asesinatos consumados,0.0,2.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,1.0,-66.7,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,0.0,3.0,100.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,0.0,3.0,100.0,
    6. Robos con violencia e intimidación,11.0,6.0,-45.5,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,13.0,12.0,-7.7,
    7.1.-Robos con fuerza en domicilios,9.0,2.0,-77.8,
    8. Hurtos,74.0,57.0,-23.0,
    9. Sustracciones de vehículos,9.0,6.0,-33.3,
    10. Tráfico de drogas,0.0,2.0,100.0,
    11. Resto de criminalidad convencional,159.0,128.0,-19.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),49.0,66.0,34.7,
    12.-Estafas informáticas,46.0,55.0,19.6,
    13.-Otros ciberdelitos,3.0,11.0,266.7,
    III. TOTAL INFRACCIONES PENALES,318.0,283.0,-11.0,
46213 Requena,
    I. CRIMINALIDAD CONVENCIONAL,190.0,300.0,57.9,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,5.0,5.0,0.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,0.0,1.0,100.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,0.0,1.0,100.0,
    6. Robos con violencia e intimidación,2.0,1.0,-50.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,12.0,27.0,125.0,
    7.1.-Robos con fuerza en domicilios,4.0,22.0,450.0,
    8. Hurtos,40.0,62.0,55.0,
    9. Sustracciones de vehículos,1.0,1.0,0.0,
    10. Tráfico de drogas,1.0,0.0,-100.0,
    11. Resto de criminalidad convencional,129.0,203.0,57.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),40.0,52.0,30.0,
    12.-Estafas informáticas,35.0,45.0,28.6,
    13.-Otros ciberdelitos,5.0,7.0,40.0,
    III. TOTAL INFRACCIONES PENALES,230.0,352.0,53.0,
46214 Riba-roja de Túria,
    I. CRIMINALIDAD CONVENCIONAL,259.0,277.0,6.9,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,5.0,4.0,-20.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,1.0,1.0,0.0,
    5.1.-Agresión sexual con penetración,0.0,1.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,0.0,-100.0,
    6. Robos con violencia e intimidación,2.0,2.0,0.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,22.0,16.0,-27.3,
    7.1.-Robos con fuerza en domicilios,19.0,13.0,-31.6,
    8. Hurtos,76.0,61.0,-19.7,
    9. Sustracciones de vehículos,3.0,3.0,0.0,
    10. Tráfico de drogas,3.0,4.0,33.3,
    11. Resto de criminalidad convencional,147.0,186.0,26.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),45.0,66.0,46.7,
    12.-Estafas informáticas,37.0,50.0,35.1,
    13.-Otros ciberdelitos,8.0,16.0,100.0,
    III. TOTAL INFRACCIONES PENALES,304.0,343.0,12.8,
46220 Sagunto/Sagunt,
    I. CRIMINALIDAD CONVENCIONAL,747.0,737.0,-1.3,
    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,1.0,-50.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,8.0,16.0,100.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,5.0,8.0,60.0,
    5.1.-Agresión sexual con penetración,0.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,5.0,6.0,20.0,
    6. Robos con violencia e intimidación,10.0,21.0,110.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,71.0,57.0,-19.7,
    7.1.-Robos con fuerza en domicilios,62.0,45.0,-27.4,
    8. Hurtos,222.0,225.0,1.4,
    9. Sustracciones de vehículos,11.0,12.0,9.1,
    10. Tráfico de drogas,4.0,5.0,25.0,
    11. Resto de criminalidad convencional,414.0,391.0,-5.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),84.0,93.0,10.7,
    12.-Estafas informáticas,79.0,84.0,6.3,
    13.-Otros ciberdelitos,5.0,9.0,80.0,
    III. TOTAL INFRACCIONES PENALES,831.0,830.0,-0.1,
46235 Sueca,
    I. CRIMINALIDAD CONVENCIONAL,339.0,376.0,10.9,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,15.0,5.0,-66.7,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,3.0,7.0,133.3,
    5.1.-Agresión sexual con penetración,0.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,3.0,5.0,66.7,
    6. Robos con violencia e intimidación,4.0,5.0,25.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,21.0,30.0,42.9,
    7.1.-Robos con fuerza en domicilios,20.0,19.0,-5.0,
    8. Hurtos,75.0,76.0,1.3,
    9. Sustracciones de vehículos,0.0,5.0,100.0,
    10. Tráfico de drogas,0.0,1.0,100.0,
    11. Resto de criminalidad convencional,221.0,247.0,11.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),44.0,67.0,52.3,
    12.-Estafas informáticas,37.0,59.0,59.5,
    13.-Otros ciberdelitos,7.0,8.0,14.3,
    III. TOTAL INFRACCIONES PENALES,383.0,443.0,15.7,
46244 Torrent,
    I. CRIMINALIDAD CONVENCIONAL,786.0,876.0,11.5,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,1.0,-50.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,4.0,7.0,75.0,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,5.0,8.0,60.0,
    5.1.-Agresión sexual con penetración,3.0,3.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,2.0,5.0,150.0,
    6. Robos con violencia e intimidación,21.0,21.0,0.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,47.0,58.0,23.4,
    7.1.-Robos con fuerza en domicilios,38.0,46.0,21.1,
    8. Hurtos,223.0,252.0,13.0,
    9. Sustracciones de vehículos,14.0,15.0,7.1,
    10. Tráfico de drogas,14.0,9.0,-35.7,
    11. Resto de criminalidad convencional,455.0,505.0,11.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),181.0,222.0,22.7,
    12.-Estafas informáticas,149.0,193.0,29.5,
    13.-Otros ciberdelitos,32.0,29.0,-9.4,
    III. TOTAL INFRACCIONES PENALES,967.0,1098.0,13.5,
46250 Valencia,
    I. CRIMINALIDAD CONVENCIONAL,14580.0,14223.0,-2.4,
    1. Homicidios dolosos y asesinatos consumados,2.0,7.0,250.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,5.0,7.0,40.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,143.0,152.0,6.3,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,100.0,76.0,-24.0,
    5.1.-Agresión sexual con penetración,14.0,20.0,42.9,
    5.2.-Resto de delitos contra la libertad sexual,86.0,56.0,-34.9,
    6. Robos con violencia e intimidación,655.0,591.0,-9.8,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,652.0,596.0,-8.6,
    7.1.-Robos con fuerza en domicilios,372.0,462.0,24.2,
    8. Hurtos,6799.0,6131.0,-9.8,
    9. Sustracciones de vehículos,148.0,157.0,6.1,
    10. Tráfico de drogas,141.0,215.0,52.5,
    11. Resto de criminalidad convencional,5935.0,6291.0,6.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2052.0,2420.0,17.9,
    12.-Estafas informáticas,1829.0,2167.0,18.5,
    13.-Otros ciberdelitos,223.0,253.0,13.5,
    III. TOTAL INFRACCIONES PENALES,16632.0,16643.0,0.1,
46145 Xàtiva,
    I. CRIMINALIDAD CONVENCIONAL,256.0,244.0,-4.7,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,4.0,3.0,-25.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,1.0,1.0,0.0,
    5.1.-Agresión sexual con penetración,0.0,1.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,0.0,-100.0,
    6. Robos con violencia e intimidación,2.0,4.0,100.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,22.0,13.0,-40.9,
    7.1.-Robos con fuerza en domicilios,15.0,11.0,-26.7,
    8. Hurtos,89.0,76.0,-14.6,
    9. Sustracciones de vehículos,3.0,1.0,-66.7,
    10. Tráfico de drogas,4.0,2.0,-50.0,
    11. Resto de criminalidad convencional,131.0,144.0,9.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),42.0,60.0,42.9,
    12.-Estafas informáticas,36.0,52.0,44.4,
    13.-Otros ciberdelitos,6.0,8.0,33.3,
    III. TOTAL INFRACCIONES PENALES,298.0,304.0,2.0,
46110 Xirivella,
    I. CRIMINALIDAD CONVENCIONAL,252.0,312.0,23.8,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1.0,4.0,300.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,0.0,4.0,100.0,
    5.1.-Agresión sexual con penetración,0.0,1.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,0.0,3.0,100.0,
    6. Robos con violencia e intimidación,5.0,5.0,0.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,13.0,4.0,-69.2,
    7.1.-Robos con fuerza en domicilios,9.0,3.0,-66.7,
    8. Hurtos,77.0,104.0,35.1,
    9. Sustracciones de vehículos,4.0,3.0,-25.0,
    10. Tráfico de drogas,0.0,2.0,100.0,
    11. Resto de criminalidad convencional,152.0,185.0,21.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),57.0,89.0,56.1,
    12.-Estafas informáticas,53.0,83.0,56.6,
    13.-Otros ciberdelitos,4.0,6.0,50.0,
    III. TOTAL INFRACCIONES PENALES,309.0,401.0,29.8,
EXTREMADURA,
    I. CRIMINALIDAD CONVENCIONAL,6444.0,6577.0,2.1,
    1. Homicidios dolosos y asesinatos consumados,0.0,2.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,3.0,4.0,33.3,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,90.0,85.0,-5.6,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,56.0,89.0,58.9,
    5.1.-Agresión sexual con penetración,13.0,19.0,46.2,
    5.2.-Resto de delitos contra la libertad sexual,43.0,70.0,62.8,
    6. Robos con violencia e intimidación,93.0,65.0,-30.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,470.0,528.0,12.3,
    7.1.-Robos con fuerza en domicilios,328.0,346.0,5.5,
    8. Hurtos,1780.0,1702.0,-4.4,
    9. Sustracciones de vehículos,42.0,45.0,7.1,
    10. Tráfico de drogas,95.0,70.0,-26.3,
    11. Resto de criminalidad convencional,3815.0,3987.0,4.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2161.0,2047.0,-5.3,
    12.-Estafas informáticas,1839.0,1664.0,-9.5,
    13.-Otros ciberdelitos,322.0,383.0,18.9,
    III. TOTAL INFRACCIONES PENALES,8605.0,8624.0,0.2,
Provincia de BADAJOZ,
    I. CRIMINALIDAD CONVENCIONAL,4448.0,4579.0,2.9,
    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,3.0,4.0,33.3,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,63.0,59.0,-6.3,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,33.0,72.0,118.2,
    5.1.-Agresión sexual con penetración,7.0,17.0,142.9,
    5.2.-Resto de delitos contra la libertad sexual,26.0,55.0,111.5,
    6. Robos con violencia e intimidación,72.0,52.0,-27.8,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,345.0,392.0,13.6,
    7.1.-Robos con fuerza en domicilios,252.0,247.0,-2.0,
    8. Hurtos,1327.0,1272.0,-4.1,
    9. Sustracciones de vehículos,36.0,35.0,-2.8,
    10. Tráfico de drogas,78.0,45.0,-42.3,
    11. Resto de criminalidad convencional,2491.0,2647.0,6.3,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1354.0,1390.0,2.7,
    12.-Estafas informáticas,1129.0,1133.0,0.4,
    13.-Otros ciberdelitos,225.0,257.0,14.2,
    III. TOTAL INFRACCIONES PENALES,5802.0,5969.0,2.9,
06011 Almendralejo,
    I. CRIMINALIDAD CONVENCIONAL,298.0,335.0,12.4,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,3.0,0.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,2.0,3.0,50.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,2.0,3.0,50.0,
    6. Robos con violencia e intimidación,2.0,2.0,0.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,20.0,17.0,-15.0,
    7.1.-Robos con fuerza en domicilios,16.0,9.0,-43.8,
    8. Hurtos,79.0,90.0,13.9,
    9. Sustracciones de vehículos,4.0,7.0,75.0,
    10. Tráfico de drogas,30.0,1.0,-96.7,
    11. Resto de criminalidad convencional,158.0,211.0,33.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),88.0,64.0,-27.3,
    12.-Estafas informáticas,79.0,57.0,-27.8,
    13.-Otros ciberdelitos,9.0,7.0,-22.2,
    III. TOTAL INFRACCIONES PENALES,386.0,399.0,3.4,
06015 Badajoz,
    I. CRIMINALIDAD CONVENCIONAL,1667.0,1504.0,-9.8,
    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,20.0,21.0,5.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,11.0,39.0,254.5,
    5.1.-Agresión sexual con penetración,3.0,12.0,300.0,
    5.2.-Resto de delitos contra la libertad sexual,8.0,27.0,237.5,
    6. Robos con violencia e intimidación,51.0,25.0,-51.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,87.0,97.0,11.5,
    7.1.-Robos con fuerza en domicilios,63.0,52.0,-17.5,
    8. Hurtos,602.0,495.0,-17.8,
    9. Sustracciones de vehículos,22.0,10.0,-54.5,
    10. Tráfico de drogas,19.0,20.0,5.3,
    11. Resto de criminalidad convencional,854.0,796.0,-6.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),414.0,466.0,12.6,
    12.-Estafas informáticas,344.0,368.0,7.0,
    13.-Otros ciberdelitos,70.0,98.0,40.0,
    III. TOTAL INFRACCIONES PENALES,2081.0,1970.0,-5.3,
06044 Don Benito,
    I. CRIMINALIDAD CONVENCIONAL,259.0,302.0,16.6,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,5.0,1.0,-80.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,2.0,3.0,50.0,
    5.1.-Agresión sexual con penetración,1.0,1.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,2.0,100.0,
    6. Robos con violencia e intimidación,6.0,3.0,-50.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,25.0,36.0,44.0,
    7.1.-Robos con fuerza en domicilios,21.0,33.0,57.1,
    8. Hurtos,75.0,82.0,9.3,
    9. Sustracciones de vehículos,3.0,2.0,-33.3,
    10. Tráfico de drogas,3.0,2.0,-33.3,
    11. Resto de criminalidad convencional,140.0,172.0,22.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),87.0,89.0,2.3,
    12.-Estafas informáticas,80.0,78.0,-2.5,
    13.-Otros ciberdelitos,7.0,11.0,57.1,
    III. TOTAL INFRACCIONES PENALES,346.0,391.0,13.0,
06083 Mérida,
    I. CRIMINALIDAD CONVENCIONAL,492.0,612.0,24.4,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,4.0,6.0,50.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,3.0,6.0,100.0,
    5.1.-Agresión sexual con penetración,1.0,1.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,2.0,5.0,150.0,
    6. Robos con violencia e intimidación,5.0,5.0,0.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,21.0,30.0,42.9,
    7.1.-Robos con fuerza en domicilios,17.0,18.0,5.9,
    8. Hurtos,148.0,189.0,27.7,
